Название;Цена;Описание;Ссылка на самолетик;Ссылка на картинку
Радиоуправляемый самолет WLToys F929 SU-26;3990 ₽;Легок в управлении и выполнен из прочного EPS пластика;https://copterdrone.ru/catalog/rc_planes/wltoys_f929_su_26/;https://copterdrone.ru/copter/res/images/wltoys_f929_su_26_1.jpg
Радиоуправляемый самолет WLToys F939;3990 ₽;Двухлопастой винт. Радиус полета F939 - 150 метров.;https://copterdrone.ru/catalog/rc_planes/wltoys_f939/;https://copterdrone.ru/copter/res/images/wltoys_f939_1.jpg
Радиоуправляемый самолет XK Innovation A100-J11;4250 ₽;Модель истребителя. Дальность 200 м. Время полета 7-8 минут. Гироскоп, воздушные трюки. Прочный и легкий корпус с узнаваемым дизайном.;https://copterdrone.ru/catalog/rc_planes/xk-innovation-fly/radioupravlyaemyy-samolet-xk-innovation-a100-j11/;https://copterdrone.ru/copter/res/image/uploads/store/product/532c1dddb6537e442de8fbd49583311d.jpg
Радиоуправляемый самолет XK Innovation A100-SU27 RTF 2.4G;4250 ₽;Модель истребителя Су-27. Дальность 200 м. Время полета 7-8 минут. Гироскоп, воздушные трюки. Прочный и легкий корпус с узнаваемым дизайном.;https://copterdrone.ru/catalog/rc_planes/xk-innovation-fly/radioupravlyaemyy-samolet-xk-innovation-a100-su27-rtf-24g/;https://copterdrone.ru/copter/res/image/uploads/store/product/0e362a2ffe275108f62f726ac3d77f6c.jpg
Радиоуправляемый самолет Fei Xiong Cessna182 RTF 2.4Ghz - FX801;4290 ₽;Радиоуправляемый самолет с размахом крыла - 38 см. Модель выполнена из прочного и лёгкого материла EPP. Длительность игры может достигать 20 минут. Расстояние управления - 120 метров. Цвет - белый.;https://copterdrone.ru/catalog/rc_planes/fei-xiong/radioupravlyaemyy-samolet-fei-xiong-cessna182-rtf-24ghz-fx801/;https://copterdrone.ru/copter/res/image/uploads/store/product/fafecc5fc6047d5a8dc3d1abfb82c328.jpg
Радиоуправляемый самолет Volantex RC Mustang 400мм (синий) 2.4G 2ch LiPo RTF with Gyro - EXA76203R;4390 ₽;Радиоуправляемый самолет Volantex RC Mustang 400мм для начинающих, готовый к полету. Простая в управлении игрушка на открытом воздухе с системой 6-осевой гироскопической стабилизации.;https://copterdrone.ru/catalog/rc_planes/volantex/radioupravlyaemyj-samolet-volantex-rc-mustang-400mm--sinij--2-4g-2ch-lipo-rtf-with-gyro/;https://copterdrone.ru/uploads/products/EXA76203_01rb.jpg
Радиоуправляемый самолет Volantex RC Mustang 400мм (красный) 2.4G RTF - EXA76203B;4390 ₽;Радиоуправляемый самолет Volantex RC Mustang 400мм для начинающих, готовый к полету. Простая в управлении игрушка на открытом воздухе с системой 6-осевой гироскопической стабилизации.;https://copterdrone.ru/catalog/rc_planes/volantex/radioupravlyaemyj-samolet-volantex-rc-mustang-400mm--krasnyj--2-4g-2ch-lipo-rtf-with-gyro/;https://copterdrone.ru/uploads/products/EXA76203_01.jpg
Радиоуправляемый самолет Feilun P51 Mustang EPO RTF;4480 ₽;Легкий и подвижный в полете. Стабилизация с помощью 6-осевого гироскопа. Прост в управлении. RTF - готов к полету. Размах крыла 50 см. Аккумулятор LiPo 3.7V 500mAh;https://copterdrone.ru/catalog/rc_planes/radioupravlyaemyy-samolet-feilun-p51-mustang-epo-rtf/;https://copterdrone.ru/copter/res/image/uploads/store/product/288d4b52c8562815e825c05365fcc4db.jpg
Радиоуправляемый самолет Feilun F6F Hellcat EPO TS866C;4480 ₽;Малогабаритная модель из прочного и легкого материала EPO с простым управлением и гироскопом для стабильного полета.;https://copterdrone.ru/catalog/rc_planes/radioupravlyaemyy-samolet-feilun-f6f-hellcat-epo-ts866c/;https://copterdrone.ru/copter/res/image/uploads/store/product/c540e8736a8ba7d1e8276527b9482069.jpg
Радиоуправляемый самолет Feilun P51 Mustang EPO TS866A;4480 ₽;Изготовлен из прочного и легкого материала EPO с мощным мотором и гироскопом для стабильного полета. RTF - готов к полету. Размах крыла 50 см. Аккумулятор LiPo 3.7V 500mAh;https://copterdrone.ru/catalog/rc_planes/radioupravlyaemyy-samolet-feilun-p51-mustang-epo-ts866a/;https://copterdrone.ru/copter/res/image/uploads/store/product/706b6748fd9a2b43841cf437c07f7e7c.jpg
